ITEM_ID,BASAL,TITLE,CALORIES,COMPLEXITY,INGREDIENTS,CARBS,FATS,PROTEINS,TASTE,VEGETARIAN
bread - Grilled Cheese,bread,Grilled Cheese,320,easy,'bread' 'cheese' 'butter',28,20,10,4,true
bread - Grilled Cheese and Tomato Soup,bread,Grilled Cheese and Tomato Soup,610,easy,'bread' 'cheese' 'butter' 'tomato' 'onion' 'garlic' 'cream' 'vegetable broth',56,38,14,4,true
beef - Hearty Beef Stew,beef,Hearty Beef Stew,500,hard,'beef stew meat' 'carrots' 'potatoes' 'onion' 'garlic' 'tomato paste' 'beef broth' 'red wine' 'bay leaves' 'thyme' 'flour' 'butter' 'salt' 'pepper',30,35,35,4,false
rice - Beef and broccoli stir fry,rice,Beef and broccoli stir fry,400,normal,'1 pound flank steak thinly sliced against the grain' '1 pound broccoli cut into florets' '2 tablespoons vegetable oil' '1 teaspoon minced garlic' '1 teaspoon minced ginger' '1/4 cup soy sauce' '2 tablespoons brown sugar' '2 tablespoons cornstarch' '1/2 cup water',45,16,32,4,false
rice - Chicken Curry with Basmati Rice,rice,Chicken Curry with Basmati Rice,490,normal,'1 cup uncooked basmati rice' '2 tbsp vegetable oil' '1 onion chopped' '2 cloves garlic minced' '1 tbsp grated ginger' '1 lb boneless skinless chicken breast cubed' '2 tbsp curry powder' '1 tsp ground cumin' '1 tsp ground coriander' '1/2 tsp salt' '1/4 tsp black pepper' '1 can (14.5 oz) diced tomatoes undrained' '1 can (14 oz) coconut milk' '1/4 cup chopped fresh cilantro',49,20,34,4,false
rice - General Tso Chicken,rice,General Tso Chicken,900,normal,'chicken breast' 'cornstarch' 'soy sauce' 'rice vinegar' 'hoisin sauce' 'brown sugar' 'garlic' 'ginger' 'red pepper flakes' 'vegetable oil' 'green onion' 'white rice',75,35,50,5,false
rice - Mushroom Risotto,rice,Mushroom Risotto,350,normal,'mushrooms' 'onion' 'garlic' 'arborio rice' 'vegetable broth' 'white wine' 'parmesan cheese' 'butter' 'salt' 'pepper',36,11,9,4,true
vegetables - Chicken Soup,vegetables,Chicken Soup,450,easy,'carrots' 'celery' 'onion' 'garlic' 'potatoes' 'green beans' 'tomatoes' 'vegetable broth' 'bay leaf' 'thyme' 'rosemary' 'salt' 'pepper' 'chicken',25,30,35,4,false
vegetables - Vegetable Soup,vegetables,Vegetable Soup,250,easy,'carrots' 'celery' 'onion' 'garlic' 'potatoes' 'green beans' 'tomatoes' 'vegetable broth' 'bay leaf' 'thyme' 'rosemary' 'salt' 'pepper',25,3,5,3,true
postMan - proud-otter-55,postMan,proud-otter-55,700,hard,'rice' 'chicken' 'mixed veggies' 'tso sauce',300,50,80,4,false
